"","ser1","ser2","ser3","r5p1","r5p2","r5p3","r5p4","r5p5","IMP1","IMP2","IMP3","IMP4","IMP5","GMP1","GMP2","GMP3","GMP4","GMP5","INO1","INO2","INO3","INO4","INO5","GUO1","GUO2","GUO3","GUO4","GUO5","GDP1","GDP2","GDP3","GDP4","GDP5","AMP1","AMP2","AMP3","AMP4","AMP5"
"P2_1",9.08109585368109,5.48181008398789,3.49094058577068,1.59441218344313,5.77647745329342,9.61806728267416,1.77731875912689,3.63234081855134,2.64390638856153,3.90552160383045,5.34347139012261,1.26031654003789,1.74240334591054,1.16448346663561,2.55636314076598,4.17534453051633,0.795967113198672,1.84848264123533,0.867020606774955,2.61422653908292,4.22029788137278,0.916579910491747,1.46509849454984,0.752210624349733,2.15271716997323,3.55072092511382,0.653735021303127,1.61567040743939,0.677961734620358,1.45849532288379,2.47611708984703,0.433054666761703,1.16366922601433,1.02884093688388,1.6059284657431,2.2743922885445,0.540059789656873,0.64222375207932
"P2_2",6.26783168515881,5.69870124725811,3.58969680969614,2.3569351010643,5.02980991220698,9.55524553015128,2.30231440525334,3.61884035822977,2.21526070597294,3.03099868958695,4.68448373334839,1.28705585174928,1.35473031488871,0.870545295548024,1.48851857372291,2.7142084942559,0.663251113447183,1.15865743789275,1.52832309338435,2.79329399214504,5.56017544533861,1.38751553570529,2.04822948778077,0.510315177856852,1.08923635091039,1.82832328690262,0.454642937663339,0.820329413282442,0.378323087757917,0.591543811681215,1.15525050190323,0.275793312218896,0.559339462239671,0.849943773866263,1.38670987969481,2.07083498251387,0.55492151613912,0.384560651769924
"P2_3",8.79822046035327,5.9475100269539,3.69640784251989,2.07788343527048,5.88013428865018,9.73503246358201,2.14106548269913,3.62606009921313,2.02001456125941,3.07511733391868,4.51206152966927,1.15735654311363,1.24477559435797,1.01267030757792,2.2150727411465,3.53293966814139,0.791927066760522,1.53426669942402,1.16821335414733,2.56236574422993,4.5647151803498,1.05597024832263,1.58384975492414,0.80933220080257,2.13609506253911,3.21036158871807,0.689532239127461,1.49773145047049,0.455326383920371,0.883789435662297,1.50778602404308,0.340533983029839,0.69829108104615,0.786964078872419,1.38004657909744,2.01257768477033,0.509744254635134,0.390824638138324
"P2_4",6.94099118793572,5.90252852051707,3.2456942963719,1.86923714743947,5.26737203841298,9.62741687922239,1.91992591953069,3.36395122341808,2.38370375067966,3.52460082937835,5.2229685202617,1.25138547871823,1.45203696558727,0.965630377340649,1.89754243421426,3.33949698771989,0.636028764158151,1.38521812562494,1.06776133628264,2.62388130101141,4.84374440755502,1.1045028405487,1.59083030651864,0.58175043461163,1.32327754789804,2.29654234996969,0.414672052875496,1.04743246885603,0.524634002438432,0.994755295959702,1.8106153114238,0.302728071513906,0.83303921295284,1.00579084618137,1.69381635503607,2.50671098378279,0.599143977674451,0.495039074911175
"P2_5",8.8562629836589,5.8591223131595,3.42020342205408,2.27485759887456,5.97389874881255,8.96421829726703,1.80217672562581,4.04022699417956,2.51969330770388,3.11576244792667,4.13469870352413,1.01165420090691,1.44005283805203,1.18317306548171,2.38153967751566,3.62639724716428,0.694827368201222,1.82173108853611,1.11671990825767,2.37382728871246,3.68231247006502,0.86205756667269,1.45805267612431,0.908613897154155,2.05883351491373,3.13311233914632,0.604515653699419,1.69583184531848,0.591280710708249,1.20225172923096,1.91020581336579,0.317447160756388,1.01566804498448,0.980476368822016,1.33704165017838,1.86382353528143,0.473281191117486,0.479378674738904
"P2_6",8.93737524983792,5.67056737470316,3.28802048998522,1.75098420366129,5.67815906418918,9.36021375515844,1.79547710965807,3.51566625746557,2.31818408583373,3.53080905726971,5.03833876229482,1.17362071559166,1.4737422356174,0.983048090496677,2.18304028187635,3.42084536339401,0.644083420333815,1.48405503606754,0.978141048696039,2.50490066479089,4.39220018547776,0.977108656054935,1.44710586916114,0.578917850964152,1.64259129082322,2.50787562290383,0.442674462866335,1.20770347629362,0.539643065152512,1.17795878012647,1.86473697966877,0.315040524491322,0.889026187106258,0.873611719858143,1.58176944897509,2.31883183297307,0.54000776645223,0.466656256364149
"P2_7",5.82955245154949,5.55643140075393,4.09439498745577,2.88292717473599,4.98818150209443,9.38204758391876,2.34692343866994,4.21546866299968,2.31610991044683,2.86187000910121,4.38921705932517,1.20682794142807,1.59693330683475,1.0281048970692,1.55320440272412,2.86141533857318,0.71116644649106,1.38753856587054,1.80097412419383,2.82421690227668,5.43116967246703,1.38963334374252,2.4244159424057,0.642150322343765,1.07362992944382,1.88552320807919,0.477695417544705,0.982471019338098,0.463209148719496,0.696933627180581,1.35911144369963,0.322049228810779,0.701509923772546,0.961740790620476,1.29704648942617,1.88359159673174,0.522339024293591,0.514896355948135
"P2_8",6.21106323639051,5.87137701931669,3.71360064849737,2.18609043108497,4.72810700716026,9.6492052232233,2.0479430348026,3.86461285283958,2.12819624717081,2.94017843194632,4.68032512920622,1.1498404153813,1.48621250645032,1.00852830352772,1.71799304583077,3.37658909031367,0.706074106960415,1.55443613456264,1.33385723932143,2.56496442987855,5.22603952763112,1.20829803397692,2.04676408860318,0.576544468100065,1.15080935338322,2.28637312793715,0.467072765649994,1.15311018288638,0.535364796793218,0.910151362280896,1.855086254255,0.35656218293591,0.92519355757588,0.865580744401245,1.39033529642795,2.12545620043889,0.517320696808955,0.481555032773826
"P2_9",9.07827585532084,5.59685009106261,3.03817016846696,1.86501422437229,5.45265307977376,9.41134001938615,1.63618434735242,4.06394526728232,2.42319692999188,3.26882101580139,4.69720562114486,1.03575038021143,1.71283743590894,1.13787402285799,2.33854807370882,3.85389246366646,0.660982360206055,1.81462081776528,0.959368345823949,2.22417802934724,4.03499933866929,0.867157801787326,1.59454461678443,0.65315844388613,1.80915702661369,2.96374809349135,0.480684423034206,1.45765630707561,0.675343213221246,1.38640472513424,2.33958049158337,0.353897740544219,1.1573914088888,0.87137750157264,1.31376461000837,1.93371104566598,0.431061843525927,0.557071051737649
"P2_10",7.7371813218226,5.74155830853337,3.22874108803119,2.44428989773752,4.89278261203208,9.65036032396288,1.84977994474532,4.68768551544984,1.93248135152411,2.27440423757587,3.87374449952173,0.85335737324747,1.62258571496687,1.10585356258814,1.90980962329148,3.48967415777486,0.64391669194363,1.76485186255415,1.34604818129625,2.01967289557579,4.55712231083852,1.00736724313557,2.18472758496063,0.643014046621847,1.46230178261531,2.51010818479965,0.42291444224346,1.30535819905373,0.598498564958895,1.02439793165396,1.91850011996904,0.318141951445937,1.00158935513185,0.633945068725552,0.893167263198993,1.44947265928401,0.316655667358898,0.460539309845558
"P2_11",9.53523907374954,5.89141422764557,2.67686061843444,1.44956560072533,5.71949691248575,9.206986708706,1.44940975331023,3.23800231762657,2.33396365817031,3.43809615154459,4.80588670165999,1.01657485637737,1.23699750554942,0.907806644373838,2.20431022329586,3.50569317671071,0.51839179066352,1.48566671155659,0.613278540677588,2.22882590950758,3.63962339064937,0.726732698237791,0.985935583999591,0.669488380465076,1.84742278845651,2.89255073997535,0.412901439923055,1.42767565303532,0.538596459364685,1.25170669101666,2.06674284812863,0.250888907986766,0.973416489986184,0.974194507856572,1.69012213321813,2.47973481463986,0.542033828988584,0.462605820011091
"P2_12",12.241713961237,4.96203244836661,2.27436580333803,1.7129627763347,6.4950126051834,8.28200751358478,1.64661847097717,4.29702453539854,3.11588763529911,3.04382441862685,3.56711487215026,0.928451184235924,1.49364668635577,1.01675598094835,2.52074063126353,3.21418394138357,0.633043978869291,1.73414571072396,0.808769966595324,1.84312602508793,2.4969032626366,0.570589860722719,1.12455325494102,0.628130531295529,1.84661719768071,2.48285070360415,0.414089023145278,1.24540686723593,0.518786548409207,1.38571955175256,1.79018603309014,0.315715652643588,1.00906091384883,1.17132933439795,1.16316734223801,1.44272209983536,0.405413892393227,0.540393401215475
"P2_13",10.0206278312534,5.35337654963692,3.72808217488174,1.75894683783569,6.12654960769387,9.63990195072282,1.88709320512511,3.54817287839578,2.45361761266343,3.85912472248137,5.38355334836178,1.29327736016016,1.60637656674437,1.09235564825464,2.4345381188083,3.72359546518406,0.74672841376903,1.59786466342857,1.03890498701967,2.78110824568103,4.4962820587619,0.997077868392578,1.46528960626463,0.72028099235554,2.05246390855781,3.10100382500514,0.597207484385603,1.40905577377368,0.573583910328283,1.25242164153978,1.95826669656834,0.36319304396711,0.907154403458671,0.865328602756853,1.58360177927812,2.29014876593478,0.5485545227222,0.510973588338084
"P2_14",6.35365524217594,6.10145343960048,3.99634442410587,2.28855646789892,5.01235484554409,9.73408166407832,2.21080116187781,3.68622262364283,1.87003403035168,2.86791062929075,4.63551312672236,1.16815530037315,1.27733950921279,0.962404413744413,1.70089428874086,3.17544230222345,0.731541354686703,1.40869324356377,1.40414537889033,2.65527553279555,5.37736398173814,1.25191458870191,1.99717190482043,0.632722417202341,1.22735197825661,2.19268200787837,0.494198010690201,1.12251693757682,0.456808747439723,0.735421532522352,1.46112233455141,0.336446012106655,0.715716764587513,0.773673727423088,1.43954083628523,2.20954027118687,0.5471995717396,0.373683528122919
"P2_15",8.86431603876294,6.16311447618394,3.21950193458384,1.75099243655008,5.64248953344382,9.20114773094577,1.75742401732223,3.95429089784461,2.06202290178763,2.83332408827583,4.04561431852954,0.935996621148052,1.30441239786237,1.06352602259215,2.3652630753571,3.76045004045062,0.731732869455425,1.86073146879905,0.8316857357319,2.0931171495033,3.76558974875127,0.794135949497909,1.40131635825318,0.75482448395458,2.01219717229691,3.14830403683393,0.596684118938765,1.70310839752547,0.56771793966597,1.19297642371517,1.96361047517566,0.358716607385974,1.04678875920326,0.752886128945753,1.2508927605615,1.86091070051812,0.437845440204638,0.397369963034503
"P2_16",9.81117394160874,5.75928398808294,2.7009959189631,2.11698014711236,5.57383157024276,9.27344095408743,1.57022701914747,4.56531077612496,2.19396689071429,2.37745591234378,3.46132340617878,0.724285823646106,1.49454315592035,1.14616310585515,2.40671817801308,3.81329245807124,0.635563167095411,1.94199627938292,0.978192458525367,1.65365281985078,3.30273686662448,0.686259298307543,1.57374207939559,0.775720110943737,2.29394255967895,3.47015700075398,0.558606999584195,1.70463118065948,0.639036138538772,1.29460755652493,2.12858182693883,0.310895927192263,1.11189223819703,0.623756179553036,0.729575655807289,1.10042702237835,0.227788392788302,0.419340443636064
"P2_17",11.4233027306907,5.00132042389229,2.51789985713286,1.94097602648876,5.94511045893326,8.25070223970134,1.91890700072691,4.838899143605,2.64475160454296,2.29079931655755,2.87189847288751,0.844681171041153,1.48995267574307,0.945711397518447,2.26903823732118,2.97963020044556,0.702485418592869,1.7955300770445,1.07193484414084,1.66763769397011,2.98549878197083,0.752383053144524,1.60723558812703,0.529558641234596,1.6538882228905,2.21518035075295,0.455271051052217,1.22236976053435,0.453261644323406,1.17263082044329,1.5040042129107,0.348847925697591,0.968221570859422,0.929572712423609,0.778025930128304,0.968054389904026,0.318131865857337,0.469745703403453
"P2_18",8.46153263264623,5.77101129896007,3.36146523845604,2.4838589356758,5.22430141393362,9.52807096420497,1.93769073163462,4.34663227718892,1.84088402729333,2.2699187462195,3.78384333343757,0.867449769776548,1.37279174599409,0.979324117537464,1.80939494501823,3.05057192729962,0.604404394205112,1.48063171985763,1.42244921608508,2.05988469855971,4.50624141379965,1.02295120106288,1.96429156082479,0.572917721291974,1.51218386535803,2.29047461870947,0.422702563996108,1.13432607049014,0.49563678695246,0.851367210197338,1.46253584452341,0.264575787319229,0.755526573324173,0.4917956605725,0.803646418895135,1.32247641909822,0.302030703178869,0.291574342438811
"P2_19",11.850137737686,5.76480552570328,2.44756267232943,2.14612449609938,6.78610490476794,8.38130314686038,1.69446122484378,4.4255888531574,2.35546570927662,2.46000544339341,2.82985181682761,0.738106726441069,1.18675155993788,1.04237822480795,2.6451688121663,3.25069249734236,0.63607297927403,1.76554141792017,0.870523982849226,1.79240670136292,2.43802760194722,0.58398501863271,1.1570714741684,0.906682252847113,2.76959738349525,3.41031438567522,0.656684693761253,1.86532434178037,0.434055713736994,1.108148559309,1.32784507060944,0.229173536387583,0.787681799968778,0.765408337386624,0.91285225574969,1.16914266905943,0.319722009906324,0.353891962849929
